steps,Time
10,9972
12,20943
14,45011
14,26081
12,6967
14,15362
12,1988
10,0
8,997
14,0
12,0
14,8093
14,3000
12,0
14,1183
12,0
14,993
12,0
4,998
14,1996
14,8922
10,4615
12,997
14,997
14,0
14,998
12,1994
14,2228
12,0
14,999
12,996
8,0
6,1336
12,0
4,987
12,991
12,0
14,0
14,0
14,996
10,0
14,0
12,7984
12,11976
10,986
12,4986
12,5986
12,995
12,6012
14,13968
12,14950
12,3994
10,14956
14,2995
10,8977
14,1998
14,4978
6,5989
14,1990
12,7995
10,982
12,4984
8,9973
10,0
4,20946
12,9972
10,997
12,4050
12,8991
14,1983
4,16969
4,3975
14,1001
10,14959
12,5982
14,6981
12,1994
14,32916
8,2989
14,16953
14,20945
12,6981
12,1001
10,4014
12,15935
10,2991
14,19948
8,8970
12,0
8,6987
12,8975
14,15955
12,9980
14,4992
6,13951
14,1041
12,5938
10,1994
6,16245
10,6992
10,5980


steps,Time
13,7715
13,3985
13,6985
13,5978
13,994
13,6895
13,9972
15,2004
13,15946
15,0
15,11968
13,0
13,998
13,5053
15,967
15,7976
15,5988
13,992
15,1001
15,7975
13,998
13,3993
15,995
15,7042
15,2993
13,3982
15,2989
15,1000
15,12591
15,981
15,4058
13,9003
13,996
13,3989
15,995
13,0
15,997
15,0
15,7982
15,4986
13,1998
13,13000
15,994
15,5984
15,1006
13,8550
15,995
15,3995
13,994
15,7976
15,996
13,3990
15,996
13,0
15,0
13,0
13,997
13,0
13,3991
15,6981
15,4986
13,2005
15,11962
15,998
13,4984
13,998
13,6985
15,994
13,6985
15,4982
13,2994
15,10977
13,995
15,4979
15,8988
13,988
13,9974
15,10027
13,989
15,12967
15,998
15,4984
13,2993
15,5994
15,1985
15,4039
13,0
15,990
15,0
13,995
13,7986
15,991
13,4990
15,0
15,5985
15,2004
15,10109
15,6057
13,5909
13,1995
